count,title,subtitle,link,cover_image_url,ground_truth
15,Was the Kids’ TV Show ‘Paw Patrol’ Canceled?,Tongue-in-cheek social media posts led to rumors about the popular Nickelodeon show. ,https://www.snopes.com/fact-check/did-paw-patrol-get-canceled/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
16,Is This a 1992 Clinton-Gore Confederate Flag Campaign Button?,Campaign buttons for the 1992 Clinton-Gore national ticket bearing a Confederate flag background are of uncertain provenance.,https://www.snopes.com/fact-check/clinton-gore-92-confederate/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,unproven
17,Is This ‘Trump Army’ Fundraising Email Real?,"The Trump campaign launched the ""Army for Trump"" website in March 2020. ",https://www.snopes.com/fact-check/trump-army-fundraising-email/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
18,Does This Video Show an FBI Agent Arrested During 2020 Protests?,This video was originally shared as an example of racial profiling. ,https://www.snopes.com/fact-check/fbi-agent-arrested-protests/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
19,Is This an Instruction Manual for George Floyd Protesters?,"Democrats, antifa, and George Soros are the usual bogeymen claimed to be behind liberal political protests. ",https://www.snopes.com/fact-check/floyd-instruction-manual-protesters/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
20,Was This McDonald’s Burned During Floyd Protests?,"Grease fires are an occupational hazard at restaurants, protests or no protests.",https://www.snopes.com/fact-check/mcdonalds-burned-floyd-protests/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
21,Is This a Real Anarchist Recruitment Flyer?,"""We condemn those who would undermine our democracy by spreading lies to our fellow citizens""",https://www.snopes.com/fact-check/anarchist-recruitment-flyer/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
22,Does This Video Show ‘Child Militia’ Deployed in Atlanta?,"A short, sketchy social media video created a misleading impression of forces called out to deal with protests in Atlanta.",https://www.snopes.com/fact-check/atlanta-child-militia/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
23,Did Barron Trump Wear an ‘I Miss Obama’ Shirt in This Photo?,Plain T-shirts are a common target of photo-editing pranksters. ,https://www.snopes.com/fact-check/barron-trump-i-miss-obama-shirt/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
24,Is This a Photograph of a KKK Gathering in Mississippi?,"As protests grew following the death of a black man while in police custody in May 2020, a viral photo purported to show members of the Ku Klux Klan gathered in Mississippi.",https://www.snopes.com/fact-check/kkk-gathering-mississippi/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
25,Does Video Show Police Officer Smashing Windows During Minn. Protests?,St. Paul Police Department issued a statement about the man depicted in the controversial video.,https://www.snopes.com/fact-check/officer-jacob-pederson-protests/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,unproven
26,Is This Video of a Riot at the Mall of America?,"As protests broke out in Minneapolis after the death of a black man while in police custody in May 2020, a video claimed riots took place in the Mall of America.",https://www.snopes.com/fact-check/riot-mall-of-america-georgefloyd/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
27,Is This Ex-Minn. Cop Derek Chauvin Wearing a ‘Make Whites Great Again’ Hat?,Chauvin is the former Minneapolis police officer identified in news reports as the killer of George Floyd.,https://www.snopes.com/fact-check/make-whites-great-again-hat/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
28,Is This a Sand-Covered Highway to Dubai During the COVID-19 Pandemic?,It's definitely difficult to photograph a place that doesn't exist. ,https://www.snopes.com/fact-check/sandy-highway-to-dubai-covid/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
29,Did CNN ‘Put a Black Guy’s Head on a White Dude’ in Arrest Video?,The video recorded outside a shopping mall after a knife attack in 2019 shows officers using a Taser on a suspect.,https://www.snopes.com/fact-check/cnn-altered-arrest-image/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
30,Background Check: Investigating George Floyd’s Criminal Record,The question of past arrests often surfaces among people who want to rationalize police officers' actions when Black men are killed in custody.,https://www.snopes.com/news/2020/06/12/george-floyd-criminal-record/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,
31,"Is This Aracely Henriquez, the Woman George Floyd Allegedly Assaulted?","The police encounter that led to Floyd's death in Minneapolis in 2020 was centered around reports about a counterfeit $20 bill, not any of his past actions. ",https://www.snopes.com/fact-check/is-this-really-aracely-henriquez/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
32,Was the Kids’ TV Show ‘Paw Patrol’ Canceled?,Tongue-in-cheek social media posts led to rumors about the popular Nickelodeon show. ,https://www.snopes.com/fact-check/did-paw-patrol-get-canceled/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
33,Is This a 1992 Clinton-Gore Confederate Flag Campaign Button?,Campaign buttons for the 1992 Clinton-Gore national ticket bearing a Confederate flag background are of uncertain provenance.,https://www.snopes.com/fact-check/clinton-gore-92-confederate/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,unproven
34,Is This ‘Trump Army’ Fundraising Email Real?,"The Trump campaign launched the ""Army for Trump"" website in March 2020. ",https://www.snopes.com/fact-check/trump-army-fundraising-email/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
35,Does This Photo Show Trump Wearing a Protective Mask?,The U.S. president went without a mask for much of his visit to a Ford manufacturing plant in Michigan in late spring 2020. ,https://www.snopes.com/fact-check/trump-face-mask-ford/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
36,Is This ‘Muzzles Are for Dogs and Slaves’ Protest Sign Real?,"Muzzles can serve a variety of purposes, but none includes preventing the transmission of infectious diseases through the air. ",https://www.snopes.com/fact-check/muzzle-protest-sign/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
37,Is This a Real Time Magazine Cover: ‘Time to Go’?,U.S. President Donald Trump has appeared on the cover of Time magazine dozens of times.,https://www.snopes.com/fact-check/time-to-go-cover/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
38,Is This a 1962 Vision of Life in 2022?,Imagine scooting around in something like a cross between the Segway and the Smart car.,https://www.snopes.com/fact-check/singoletta-future-car/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,mixture
39,Is This a Photo of Trump with Osama bin Laden?,It's difficult to believe that bin Laden took time to pop over to New York to attend black tie affairs.,https://www.snopes.com/fact-check/trump-with-osama-bin-laden/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
40,Is This a PSA About Reopening the Economy?,"Sometimes it is all too easy for us to consider deaths as a mere abstraction or statistic — as something that happens to other, faceless people.",https://www.snopes.com/fact-check/psa-reopen-economy/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
41,Is This ‘Social Distancing = Communism’ Protest Sign Real?,"At times it seems as if ""communism"" has become a general term to describe any undesirable action taken by government.",https://www.snopes.com/fact-check/social-distancing-communism/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
42,Is This Poplar Fluff Burning in Spain?,"The ""fluff"" is actually seeds from poplar trees. ",https://www.snopes.com/fact-check/poplar-fluff-burning-spain/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
43,Did ‘The Simpsons’ Predict Events of 2020 Back in 1993?,"Coincidences that occur through the repetition of events are not necessarily the same thing as ""predictions.""",https://www.snopes.com/fact-check/simpsons-predicts-2020-in-1993/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,mixture
44,Is This Microsoft Logo/Coronavirus Crop Circle Real?,You don't need a field to create a crop circle hoax. ,https://www.snopes.com/fact-check/microsoft-crop-circle/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
45,Does This Photo Show a Grocery Store Shopper in a KKK Hood?,"Santee, California, has been associated with white supremacist activity for years, earning the city the nickname ""Klantee.""",https://www.snopes.com/fact-check/grocery-store-klan-hood/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
46,Is This a Large Flock of Flamingos in a Venice Canal?,"A massive flamboyance of flamingos was spotted during the COVID-19 pandemic, but this isn't it.",https://www.snopes.com/fact-check/flamingos-in-venice-canal/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
47,Background Check: Investigating George Floyd’s Criminal Record,The question of past arrests often surfaces among people who want to rationalize police officers' actions when Black men are killed in custody.,https://www.snopes.com/news/2020/06/12/george-floyd-criminal-record/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,
48,"Is This Aracely Henriquez, the Woman George Floyd Allegedly Assaulted?","The police encounter that led to Floyd's death in Minneapolis in 2020 was centered around reports about a counterfeit $20 bill, not any of his past actions. ",https://www.snopes.com/fact-check/is-this-really-aracely-henriquez/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
49,Was the Kids’ TV Show ‘Paw Patrol’ Canceled?,Tongue-in-cheek social media posts led to rumors about the popular Nickelodeon show. ,https://www.snopes.com/fact-check/did-paw-patrol-get-canceled/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
50,Is This a 1992 Clinton-Gore Confederate Flag Campaign Button?,Campaign buttons for the 1992 Clinton-Gore national ticket bearing a Confederate flag background are of uncertain provenance.,https://www.snopes.com/fact-check/clinton-gore-92-confederate/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,unproven
51,Is This ‘Trump Army’ Fundraising Email Real?,"The Trump campaign launched the ""Army for Trump"" website in March 2020. ",https://www.snopes.com/fact-check/trump-army-fundraising-email/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
52,Is This a Photograph of Biden with Tara Reade?,"Tara Reade, who worked as an assistant helping manage interns for Biden's Senate office in 1993, has made an allegation of sexual assault against the former vice president.",https://www.snopes.com/fact-check/biden-accuser-photo/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
53,Is ‘Center for Global Human Population Reduction’ Inscribed on a Gates Foundation Building?,A doctored image was used to promulgate an old conspiracy theory about Bill Gates.,https://www.snopes.com/fact-check/gates-foundation-building/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
54,Is This ‘Barack + Hussein + Obama = COVID-19’ Protest Sign Real?,The math in this image isn't the only thing that's off.,https://www.snopes.com/fact-check/barack-hussein-obama-covid-sign/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
55,Is This a Real Message Displayed at a COVID-19 Anti-Lockdown Protest?,Demonstrators in many different U.S. cities protested that COVID-19 social-distancing restrictions were unnecessary or had continued for too long.,https://www.snopes.com/fact-check/lockdown-protest-car-message/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
56,Are These Real Signs Carried by COVID-19 Anti-Lockdown Protesters?,Demonstrators in many different U.S. cities protested that COVID-19 social-distancing restrictions were unnecessary or had continued for too long. ,https://www.snopes.com/fact-check/anti-lockdown-protest-signs/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
57,Is This a Flyer for an ‘End the Lockdown Rally’?,"Even though a Staten Island rally didn’t come to fruition, similar anti-social distancing protests took place across the U.S.",https://www.snopes.com/fact-check/lockdown-rally-flyer/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
58,Does This Photo Show an Anti-Semitic Sign at a COVID-19 Lockdown Protest?,"The protest movement against coronavirus restrictions has highlighted a variety of messages, some of them quite unsavory.",https://www.snopes.com/fact-check/anti-semitic-lockdown-protest/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
59,Did the News Media Fake Photos of Jacksonville Beaches?,Jacksonville-area journalists were accused of lying to the public about photographs of the Jacksonville Beach partial re-opening during the COVID-19 pandemic.,https://www.snopes.com/fact-check/jacksonville-beaches-photos/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
60,Is This a Photo of a 6-Year-Old Coal Miner?,The widespread presence of laboring children was a common sight in the U.S. at the turn of the 20th century.,https://www.snopes.com/fact-check/child-coal-miner/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
61,Was a Swastika Flag Displayed at Operation Gridlock Protest?,A genuine photograph circulated with a misleading caption.,https://www.snopes.com/fact-check/swastika-flag-trump-pence-michigan/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
62,Is This ‘Shaun of the Dead’ Meme Mocking Real Ohio Protesters?,"A viral photograph from a protest against stay-at-home orders during the COVID-19 pandemic was likened to the zombie movie ""Shaun of the Dead."" ",https://www.snopes.com/fact-check/shaun-of-the-dead-protesters/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
63,Does This Video Show a Naked Child Escaping Buckingham Palace?,A fictional scandal created for a TV show was turned into a darker and even more fictional scandal.,https://www.snopes.com/fact-check/escape-from-buckingham-palace/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
64,Background Check: Investigating George Floyd’s Criminal Record,The question of past arrests often surfaces among people who want to rationalize police officers' actions when Black men are killed in custody.,https://www.snopes.com/news/2020/06/12/george-floyd-criminal-record/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,
65,"Is This Aracely Henriquez, the Woman George Floyd Allegedly Assaulted?","The police encounter that led to Floyd's death in Minneapolis in 2020 was centered around reports about a counterfeit $20 bill, not any of his past actions. ",https://www.snopes.com/fact-check/is-this-really-aracely-henriquez/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
66,Was the Kids’ TV Show ‘Paw Patrol’ Canceled?,Tongue-in-cheek social media posts led to rumors about the popular Nickelodeon show. ,https://www.snopes.com/fact-check/did-paw-patrol-get-canceled/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
67,Is This a 1992 Clinton-Gore Confederate Flag Campaign Button?,Campaign buttons for the 1992 Clinton-Gore national ticket bearing a Confederate flag background are of uncertain provenance.,https://www.snopes.com/fact-check/clinton-gore-92-confederate/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,unproven
68,Is This ‘Trump Army’ Fundraising Email Real?,"The Trump campaign launched the ""Army for Trump"" website in March 2020. ",https://www.snopes.com/fact-check/trump-army-fundraising-email/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
69,Is Mike Pence Waving a Confederate Flag in This Photo?,"No, but the original version of the photograph stirred up its own controversy. ",https://www.snopes.com/fact-check/mike-pence-confederate-flag/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
70,Are ‘Mass Graves’ Being Dug for COVID-19 Deaths?,New York’s Hart Island has been used as a burial site for unclaimed deceased persons for more than 150 years.,https://www.snopes.com/fact-check/mass-graves-covid-19-deaths/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,mostly-true
71,Does This Photograph Show Women Wearing ‘Flu Masks’?,"Masks were commonly worn during the 1918 ""Spanish flu"" pandemic, but this photograph doesn't show them. ",https://www.snopes.com/fact-check/women-wearing-flu-masks-1918/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
72,"Did Time Magazine Warn About Global Warming, Pandemic Years Ago?",Who could have seen this coming? Just about anyone who can read.,https://www.snopes.com/fact-check/time-magazine-cover-warnings/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
73,Are the Himalayas Visible from Northern India for First Time in 30 Years?,"Pollution levels in India did drop dramatically in April 2020, but beyond that the story gets a little more hazy.",https://www.snopes.com/fact-check/himalayas-visible-india-30-years/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,mixture
74,Is This a 1970s Anti-Marijuana Ad?,"""I came for the album cover and stayed for the music.""",https://www.snopes.com/fact-check/1970s-anti-marijuana-ad/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
75,Did the Kenyan Government Have Maasai Tribe Whip People To Enforce Curfew?,Humor doesn't always translate from one culture to the next. ,https://www.snopes.com/fact-check/kenyan-government-maasai-tribe/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
76,Is This Soldier Carrying a Donkey to Keep It Out of a Minefield?,"Caption: ""During difficult times the first ones you have to keep under control are the jackasses who don't understand the danger and do as they please.""",https://www.snopes.com/fact-check/soldier-carrying-donkey/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
77,Do Photos Show Las Vegas Homeless Sleeping in ‘Social Distanced’ Parking Lot?,"""Las Vegas is now packing people into concrete grids out of sight,"" one critic proclaimed.",https://www.snopes.com/fact-check/las-vegas-homeless-parking-lots/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
78,Did Empire State Building Display ‘Siren’ Lights During COVID-19 Pandemic?,A strange sight for strange times. ,https://www.snopes.com/fact-check/empire-state-building-coronavirus/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
79,Does This Video Show Mass Graves in Italy?,"So far as we can tell, actress Tiffani Thiessen was not working for the CDC during the COVID-19 pandemic. ",https://www.snopes.com/fact-check/mass-graves-italy-coronavirus/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
80,Did Russia Release 500 Lions To Enforce COVID-19 Lockdown?,"No, but we don't doubt the effectiveness of such a strategy. ",https://www.snopes.com/fact-check/russia-release-lions-coronavirus/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
81,Background Check: Investigating George Floyd’s Criminal Record,The question of past arrests often surfaces among people who want to rationalize police officers' actions when Black men are killed in custody.,https://www.snopes.com/news/2020/06/12/george-floyd-criminal-record/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,
82,"Is This Aracely Henriquez, the Woman George Floyd Allegedly Assaulted?","The police encounter that led to Floyd's death in Minneapolis in 2020 was centered around reports about a counterfeit $20 bill, not any of his past actions. ",https://www.snopes.com/fact-check/is-this-really-aracely-henriquez/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
83,Was the Kids’ TV Show ‘Paw Patrol’ Canceled?,Tongue-in-cheek social media posts led to rumors about the popular Nickelodeon show. ,https://www.snopes.com/fact-check/did-paw-patrol-get-canceled/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
84,Is This a 1992 Clinton-Gore Confederate Flag Campaign Button?,Campaign buttons for the 1992 Clinton-Gore national ticket bearing a Confederate flag background are of uncertain provenance.,https://www.snopes.com/fact-check/clinton-gore-92-confederate/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,unproven
85,Is This ‘Trump Army’ Fundraising Email Real?,"The Trump campaign launched the ""Army for Trump"" website in March 2020. ",https://www.snopes.com/fact-check/trump-army-fundraising-email/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
86,Are These Vegan Foods Left Unsold During the COVID-19 Pandemic?,Even looming food shortages are apparently not enough to prompt some consumers to try soy- and tofu-based products.,https://www.snopes.com/fact-check/vegan-food-unsold/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
87,Is This Train Car Carrying ‘COVID-19’?,It's puzzling why more conspirators aren't caught when they operate so brazenly.,https://www.snopes.com/fact-check/covid19-railroad-tankcar/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
88,Is This a Photo of an American Revolutionary War Vet?,Conrad Heyer played a role in the founding of the United States and in the history of early photography.,https://www.snopes.com/fact-check/conrad-heyer-photo/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
89,Did President Trump Wet His Pants?,A juvenile joke circulated in the wake of a real tragedy.,https://www.snopes.com/fact-check/trump-wet-his-pants/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
90,Does This Photo Show a Real Storm Over Paris?,Brent Shavnore is a digital artist who often combines two or more photographs to create remarkable images. ,https://www.snopes.com/fact-check/real-storm-over-paris-photo/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
91,Was Bernie Sanders Tricked into Posing with Trump Supporters?,A genuine photograph of the 2020 Democratic presidential candidate acquired a less-than-genuine backstory as it went viral on social media.  ,https://www.snopes.com/fact-check/bernie-sanders-trump-shirts/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
92,"Is This Photo of Trump, Bloomberg, Clinton, and Giuliani Real?",Some viewers had trouble picturing these politicians golfing together. ,https://www.snopes.com/fact-check/trump-bloomberg-clinton-golf-photo/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
93,Does This Photo Show a ‘Cop After Not Shooting a Guy with a Knife’?,"Some images are so effective in capturing readers' attention, they find their way into more than one story.",https://www.snopes.com/fact-check/cop-after-not-shooting-guy-knife/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
94,Is Trojan Selling Pre-Owned Condoms?,"While many companies are trying to be more green by recycling and reusing materials, there doesn't appear to be much of a market for used condoms. ",https://www.snopes.com/fact-check/trojan-pre-owned-condoms/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
95,Is This ‘God Bows Down to Trump’ Sign Real?,Political humor can sometimes be so arch that viewers fail to discern it as such.,https://www.snopes.com/fact-check/god-bows-down-trump-sign/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,mixture
96,Is This Air Force One During Trump’s Visit to Daytona 500?,"A photograph of Air Force One at the Daytona 500 is real, but it wasn't taken in 2020. ",https://www.snopes.com/fact-check/air-force-one-trump-daytona/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
97,Does This Photo Show Trump’s and Bloomberg’s Height Disparity?,The measure of a man can be deceptive in photographs. ,https://www.snopes.com/fact-check/trump-bloomberg-height/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
98,Background Check: Investigating George Floyd’s Criminal Record,The question of past arrests often surfaces among people who want to rationalize police officers' actions when Black men are killed in custody.,https://www.snopes.com/news/2020/06/12/george-floyd-criminal-record/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,
99,"Is This Aracely Henriquez, the Woman George Floyd Allegedly Assaulted?","The police encounter that led to Floyd's death in Minneapolis in 2020 was centered around reports about a counterfeit $20 bill, not any of his past actions. ",https://www.snopes.com/fact-check/is-this-really-aracely-henriquez/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,miscaptioned
100,Was the Kids’ TV Show ‘Paw Patrol’ Canceled?,Tongue-in-cheek social media posts led to rumors about the popular Nickelodeon show. ,https://www.snopes.com/fact-check/did-paw-patrol-get-canceled/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,false
101,Is This a 1992 Clinton-Gore Confederate Flag Campaign Button?,Campaign buttons for the 1992 Clinton-Gore national ticket bearing a Confederate flag background are of uncertain provenance.,https://www.snopes.com/fact-check/clinton-gore-92-confederate/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,unproven
102,Is This ‘Trump Army’ Fundraising Email Real?,"The Trump campaign launched the ""Army for Trump"" website in March 2020. ",https://www.snopes.com/fact-check/trump-army-fundraising-email/,https://www.snopes.com/content/themes/snopes/dist/images/lazyload-placeholder.png,true
